WRONG_FORMAT_TEST1: [.#h]
WRONG_FORMAT_TEST2: [#.f]
WRONG_FORMAT_TEST3: [#.h]
WRONG_FORMAT_TEST4: [.#10.h]
WRONG_FORMAT_TEST5: [.#33.2h]
WRONG_FORMAT_TEST6: [.h]
WRONG_FORMAT_TEST7: [.10h]
WRONG_FORMAT_TEST8: [.10.10h]
CORRECT_FORMAT_TEST1: [i]
CORRECT_FORMAT_TEST2: [h.2]
CORRECT_FORMAT_TEST3: [h.10]
CORRECT_FORMAT_TEST4: [h.109]
CORRECT_FORMAT_TEST5: [h.1098]
CORRECT_FORMAT_TEST6: [h.10987]
CORRECT_FORMAT_TEST7: [h.109879]
CORRECT_FORMAT_TEST8: [h.1098797]
SHORT_NUMBER_TEST1: [a.5]
SHORT_NUMBER_TEST2: [b.5]
SHORT_NUMBER_TEST3: [c.5]
SHORT_NUMBER_TEST4: [d.5]
SHORT_NUMBER_TEST5: [e.5]
SHORT_NUMBER_TEST6: [f.5]
SHORT_NUMBER_TEST7: [g.5]
SHORT_NUMBER_TEST8: [h.5]
SHORT_NUMBER_TEST9: [i.5]
SHORT_NUMBER_TEST10: [j.5]
LONG_NUMBER_TEST1: [b.6]
LONG_NUMBER_TEST2: [f.9]
LONG_NUMBER_TEST3: [b.7]
LONG_NUMBER_TEST4: [j.6]
LONG_NUMBER_TEST5: [f.7]
LONG_NUMBER_TEST6: [c.3]
LONG_NUMBER_TEST7: [i.7]
